                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2268,                 4.0352,                 4.1963,                0.00079,                0.16471,                0.00128,                0.00023,                 4.7771,                 4.4927,                 4.0233,                 0.0775,                 0.0025,                 0.0025
                      1,                 3.9724,                  3.845,                 4.0671,                0.00083,                0.17311,                 0.0016,                0.00032,                 4.5967,                 4.3419,                 3.8941,               0.053999,               0.004999,               0.004999
                      2,                  3.759,                 3.6102,                 3.9386,                0.00092,                 0.1916,                0.00162,                0.00028,                 4.4812,                 4.2115,                  3.819,               0.030395,              0.0073951,              0.0073951
                      3,                 3.3302,                 3.2392,                 3.6873,                 0.0013,                0.27059,                0.02459,                0.00316,                 4.3923,                 4.0369,                 3.7498,               0.009406,               0.009406,               0.009406
                      4,                  3.076,                 3.0886,                 3.4078,                0.06955,                0.12101,                0.03524,                0.00829,                 3.0123,                  4.697,                 2.8208,               0.009406,               0.009406,               0.009406
                      5,                 2.9642,                 2.9193,                 3.2659,                0.01093,                0.23361,                0.00822,                0.00192,                 3.0185,                 4.4522,                 3.2599,               0.009208,               0.009208,               0.009208
                      6,                 2.8394,                 2.7979,                 3.1406,                0.05027,                0.08908,                0.02565,                0.00527,                 3.1447,                 3.9063,                 3.4393,                0.00901,                0.00901,                0.00901
                      7,                 2.7631,                 2.7816,                 3.1111,                0.03959,                0.40672,                0.02962,                0.00724,                 2.8506,                  18.08,                 3.5094,               0.008812,               0.008812,               0.008812
                      8,                 2.6934,                 2.6162,                  3.019,                0.04832,                0.50252,                0.04328,                0.01001,                 2.8984,                 51.147,                 3.5993,               0.008614,               0.008614,               0.008614
                      9,                  2.643,                 2.5251,                 2.9446,                0.07184,                0.35462,                0.05098,                0.01358,                 2.5189,                 12.257,                 2.8338,               0.008416,               0.008416,               0.008416
                     10,                 2.6299,                 2.4881,                 2.8942,                 0.2011,                0.30084,                0.12837,                0.03563,                  2.465,                 2.9979,                 2.5448,               0.008218,               0.008218,               0.008218
                     11,                 2.5344,                  2.342,                 2.8164,                0.36484,                0.41176,                0.31021,                0.08489,                 2.4432,                 2.3947,                  2.397,                0.00802,                0.00802,                0.00802
                     12,                 2.4609,                 2.2211,                 2.7532,                0.36739,                0.44538,                0.31763,                0.09825,                 2.2974,                   2.24,                 2.2288,               0.007822,               0.007822,               0.007822
